Дата,Подія,Опис,Традиції,Як підготуватися
11.01,,"коли дерево спить. Дуже добре впливає на людей спілкування з каштаном. Осика й тополя забирають лиху енергію. Наведемо зелений гороскоп, у якому простежується зв'язок людських характерів з деревами і яким користувалися наші прародителі: Яблуня: 23 грудня -- | січня; 25 червня - 4 липня. Ялиця: 2 -- 11 січня; 5 - - 14 Липня. В'яз: 12 -- 24 січня; 15 - - 25 липня. Тополя: 4 --- 8 лютого; 5 -- 13 серпня. Кедр: 9 --- 18 лютого; 14 --- 23 серпня. Сосна: 19 --28 (29) лютого; 24 серпня - - 2 вересня. Іва: 1-- 10 березня; 3 - - 12 вересня. Липа: 11 -- 20 березня; 13 - - 22 вересня. Дуб: 21 березня (день весняного рівнодення). Ліщина: 22 -- 31 березня; 24 вересня - - 3 жовтня. Горобина: 1 -- 10 квітня; 4-- 13 жовтня. Клен: 11 -- 20 квітня; 14 - - 23 жовтня. Горіх: 21 -- 30 квітня; 24 жовтня -- 2 листопада. Жасмин: 1 - - 14 травня; 3 - - ІІ листопада. Каштан: 15 - - 24 травня; 12 -- 21 листопада. Ясен: 25 травня - - З червня; 22 листопада - - І грудня. Граб: 4 -- 13 червня; 2 -- 11 грудня. Берез...",,
12.01,,,,
13.01,ВІВЧАРНИК,"Г.Маслова, «Народная одежда...», с.60, 116. М.Міщснко, «Народний календар», с.62. В.Скуратівський, «Дідух», с.136. ОНИСИМ-ВІВЧАРНИК --- 26 лютого. Тоді виносили під світлі зорі прядиво, «щоб гарно вівці окочувалисяягнилися».",,
14.01,НОВИЙ РІК,"Я, СОН).",,
15.01,,,,
16.01,,"ариці» з Куль-Оби», с.39-43. О.Боряк, «Ворстено та пряслиця...», с.30-36; «Ткацтво в обрядах...» Б.Успенский, «Филологическис разь-скания...», с.81, 89, 137, 176, М.Павлова, Н.Толстой, «Верстоно», с.340-342. А.Гура, «Символика животньх...», с.59, 84, 111, 114, 139, ВЕРИГОВИЙ ДЕНЬ (Петра Вериги) - - 16 / 29 січня. У народі кажуть: «На Петра Вериги розбиваються криги»; зима «або поставить, або поломить крити». На Вериговий день люди вирушали на вирубку лісів, бо лише взимку, «як дерево спить», а саме від січня 1 до середини березня, «дереву в цей час не болить». Вважалося, що будівля, зведена з плах, вирубаних у Вериговий день, убезпечена від блискавок, «бо грім не влучає у чисте». З цим днем пов'язували закінчення зими, а тому прогнозували погоду на майбутнє: «Мороз на Вериги віщує літню спеку», «Якщо напередодні Вериги ніч місячна і на небі видно зорі, літо урожайне буде, а рік щасливий. Якщо ніч понура, то Й рік понурий: неврожай, пошесть на худобу».",,
17.01,АНТОН ПЕРЕЗИМНИК,"Page 15



  АРЕЙ",,
18.01,,"вши закляття, відьма тут же без усяких перепон вилітає через комин. Інколи вона далі опиняється на коні й подорожує верхи. 29 грудня відьми з усього світу злітаються на Лису гору на шабаш; | січня вони розпочинають з нечистими духами нічні прогулянки, а 3-го, повертаючись з гулянок, задоюють корів; 18 січня вони зовсім гублять розум від надмірного бенкету. За повір'ям, відьми на Благовіщення зароджуються, а на Юкріїв день (23 квітня) 1 в Купальську ніч (24 червня) разом з відунами також збираються на Лису гору. Відьом не треба плутати з чарівниками, які можуть робити й добро. Бувають відьми родимі, які продовжують свій нечистий родовід від народження, 1 навчені, яких ізмалку вчать чаклувати. Керує відьмами  Відьма. Худ. Г. Нарбут. 1917",,
19.01,,"Page 503



  СПИРИДОН СОНЦЕВОРОТ  Спас Нерукотворний. Бойківщина, остання чверть ХУ ст. повір'я, що до Спаса яблука «нечисті». Подібно до цього і вода в озерах та ставках в певний період вважається нечистою -- від свята Перуна (Іллі) (20 липня/2 серпня) до Водохрещі (6/19 січня). Тільки після освячення на Другого Спаса яблука стають придатними (преображаються) для споживання. Кусаючи перше освячене яблуко, примовляли: «Думу міцну надумую, думу трудну заклинаю, по Другому Спасу хай збудеться...» Тож традиційно свіжі плоди в народі споживали лише в період від Спаса до Різдва або Водохрещі. Після Водохрещі і освячення всіх водойм, коли вода переймається Святим Духом, свіжі яблука викидали, а натомість сушені заливали «живою» водою. Саме в цю пору, взявши з кожної копи по колосочку, жниці виробляли «Сніп-рай». Вважали, що у ньому Спас любить поспілкуватися з душами покійників. Також при завершенні жнив залишали в кінці ниви пучок незжатих колосків, який називали по-різному: Спасова борода...",,
20.01,,,,
21.01,Бабин день,"У болгар цей день — не просто вшанування повитухи, а справжнє свято жіночої мудрості, материнства і сили. Бабин день (баба — повитуха, старша жінка роду) — це свято на перехресті народження і роду, де старі руки тримають нове життя. Повитуха тут не лише акушерка, а берегиня зв’язку між світами: тим, де ще нема і тим, де вже є.

Цей день був особливо важливий у селах, де кожна баба-повитуха знала не лише, як прийняти дитину, а й як уберегти матір, родину й дім від злих сил.","— Уранці молоді матері приходили до повитухи з дарами — рушниками, хлібом, вином. Це була форма подяки, визнання і пошани.
— Повитусі мили руки, підносили воду з пахучими травами — символ обмивання після обряду народження.
— Вдень баби самі вирушали в гості — веселились, пили вино, танцювали й співали сороміцькі пісні. Це був єдиний день у році, коли жінки безкарно могли ""випустити пару"".
— Вважалося, що у Бабин день не можна сваритися з жінкою — «бо рід згасне».","Зроби вдома атмосферу вдячності. Якщо є в родині бабуся або жінка, яка допомогла в народженні чи вихованні дитини — подзвони, подякуй. Замість обрядового рушника — щира розмова.

Добре запалити вдома свічку (або ароматичну лампу з ромашкою чи шавлією), згадати про власну мати чи родові жінки. День чудово підходить для жіночих розмов — не обов’язково про дітей, а про підтримку, досвід і силу.

Це гарна нагода зробити щось тепле: спекти пиріг, подарувати подрузі щось зроблене власноруч або просто побути з собою у тиші. День баби — це день вдячності материнству як такому — навіть якщо ти ще не мама."
22.01,,,,
23.01,ГРИГОРІЙ ЗИМОУКАЖЧИК,"опоров, «Грибьт», т. |, с.335336. О.Белова, «Грибь», с.150-151. А.Гура, «Символика животньх...», с.58, 338, 340, 385 та їн. Дж.Купер, «Знциклопедия символов», с.62. ГРИГОРІЙ ЗИМОУКАЖЧИК --- 17/30 листопада. Вважалося, що цього дня Зима на санках з гір котиться. Прикмета: який цей день, така й зима. 23 січня відзначали Григорія Літоукажчика, а на Григорія Двоєслова, або св. Григорія (12 / 25 березня), «жаби починають квакати». 13 жовтня -- також день Григорія.",,
24.01,,"на людей спілкування з каштаном. Осика й тополя забирають лиху енергію. Наведемо зелений гороскоп, у якому простежується зв'язок людських характерів з деревами і яким користувалися наші прародителі: Яблуня: 23 грудня -- | січня; 25 червня - 4 липня. Ялиця: 2 -- 11 січня; 5 - - 14 Липня. В'яз: 12 -- 24 січня; 15 - - 25 липня. Тополя: 4 --- 8 лютого; 5 -- 13 серпня. Кедр: 9 --- 18 лютого; 14 --- 23 серпня. Сосна: 19 --28 (29) лютого; 24 серпня - - 2 вересня. Іва: 1-- 10 березня; 3 - - 12 вересня. Липа: 11 -- 20 березня; 13 - - 22 вересня. Дуб: 21 березня (день весняного рівнодення). Ліщина: 22 -- 31 березня; 24 вересня - - 3 жовтня. Горобина: 1 -- 10 квітня; 4-- 13 жовтня. Клен: 11 -- 20 квітня; 14 - - 23 жовтня. Горіх: 21 -- 30 квітня; 24 жовтня -- 2 листопада. Жасмин: 1 - - 14 травня; 3 - - ІІ листопада. Каштан: 15 - - 24 травня; 12 -- 21 листопада. Ясен: 25 травня - - З червня; 22 листопада - - І грудня. Граб: 4 -- 13 червня; 2 -- 11 грудня. Береза: 21-22 червня (день літнього сонцест...",,
25.01,,,,
26.01,,,,
27.01,,,,
28.01,,"Page 162



 ДОМОВИНА за господарем, навіть лишається з ним на ніч пасти коней. До коней має особливу пристрасть, поганих примушує міняти. Щоб не впустити у двір злого домового, господар вішав у стайні ведмежу голову. Існує повір'я: якщо 28 січня господиня забуде залишити гостинець для домовика, то він із доброго перетворюється у злого. З цією переміною на дворі ів хаті все піде навиворіт: біди летять з усіх сторін, худоба чахне, люди хворіють. Тоді для угамування домовика після вечері залишають біля печі горщик каші, обкладений гарячим жаром. Рівно опівночі домовий виходить 13-під печі та вечеряє. З тієї пори він цілий рік смирний і послужливий. Так само збіситися він може і 30 березня, тоді домовик не впізнає своїх домашніх, а тому в цей день боялися ходити по двору. Люди кажуть, що тоді з домового спадає стара шкура і він від болю біситься або що в цей день нечиста сила не дає пощади 1 своєму брату. Хоч він і домовик, а всетаки наб'ють йому спину, як звичайному мужикові. А ще кажуть...",,
29.01,,"» з Куль-Оби», с.39-43. О.Боряк, «Ворстено та пряслиця...», с.30-36; «Ткацтво в обрядах...» Б.Успенский, «Филологическис разь-скания...», с.81, 89, 137, 176, М.Павлова, Н.Толстой, «Верстоно», с.340-342. А.Гура, «Символика животньх...», с.59, 84, 111, 114, 139, ВЕРИГОВИЙ ДЕНЬ (Петра Вериги) - - 16 / 29 січня. У народі кажуть: «На Петра Вериги розбиваються криги»; зима «або поставить, або поломить крити». На Вериговий день люди вирушали на вирубку лісів, бо лише взимку, «як дерево спить», а саме від січня 1 до середини березня, «дереву в цей час не болить». Вважалося, що будівля, зведена з плах, вирубаних у Вериговий день, убезпечена від блискавок, «бо грім не влучає у чисте». З цим днем пов'язували закінчення зими, а тому прогнозували погоду на майбутнє: «Мороз на Вериги віщує літню спеку», «Якщо напередодні Вериги ніч місячна і на небі видно зорі, літо урожайне буде, а рік щасливий. Якщо ніч понура, то Й рік понурий: неврожай, пошесть на худобу».",,
30.01,Антон Перезимник,"Антон Перезимник — це народна межа між глибокою зимою і першими натяками на її кінець. У цей день вшановували святого Антонія Великого, але в уяві селян це був ще й Антон-зимогін: той, хто «перезимував» основний холод і несе звістку, що весна вже десь поруч, хоч і ховається за снігами.

У народній уяві цей день вважався точкою внутрішнього повороту — коли навіть мороз починає думати про відступ. Звідси й повір’я: якщо в цей день тепло — весна буде ранньою, якщо мороз — чекай холодної Пасхи.","— Господарі спостерігали за небом і снігом: «На Антона хуртовина — до ранньої осені».
— Вважалося, що в цей день духи холоду востаннє виходять на гулянку, тому біля печі клали обереги — вугілля, часник, залізо.
— У деяких регіонах пекли «антонові калачі» — невеликі обрядові хлібці з хрестом угорі, які мали «приманити» добрий рік і добрі новини.
— Хто міг — сідав за прядку: нитка, спрядена в цей день, вважалася оберегом для дому й худоби.","Напередодні, 29 січня, добре прибрати в хаті — не з примусу, а з відчуттям завершення. Це день, коли зима переходить у свою тіньову фазу, і важливо «не застрягнути» в старому. Увечері запали свічку — або просто ввімкни тепле світло, випий чаю з медом, зупинись на хвильку.

Добре мати під рукою щось тепле: вовняні речі, плед, сушені трави, трохи сушених яблук або груш — усе, що пахне затишком.

У селян традиційно цього дня пряли — можна повторити це, займаючись чимось спокійним і монотонним: в’язання, шиття, або навіть сортування фото з літа.

Для захисту дому — постав біля входу або вікна залізний предмет, чи хоча б ключ. У сучасному варіанті — це твій намір: закрити дім від негараздів і запросити весну."
31.01,,,,
01.02,ТРИ ЦАРСТВА,"Мистецтво псріоду нсоліту...», с.30-40. П.Толочко та їн. «Давня історія України», кн. 1, с.47-56. М.Чмихов, «Від Яйця-райця до ідеї Спаситсля», с.82, 116, 388. Р.Фурдуй, «Скільки тисячоліть тризубу», с.240-248. В.Паїк, «Корінь безсмертної України», с.20-25. ТРИФОНІВ ДЕНЬ (Перезимник, Зірчастий) - - 1/14 лютого. Вночі не слід дивитися на зорі -- можна присмалитися «мишачим вогнем», а тому тільки цього дня можна заклинати мишей -- губителів скирт і копичок. Зірки цієї ночі, як світлячки, - - ознобом б'ють. Тільки тим, хто народився на Трифона, дозволялося гадати про весну. У цей день не можна прясти. Прикмети: Місяць народжується перед полуднем -- на щедрий рік, а грім гримить - - на вітряний; якщо цього дня іде сніг, то цілий рік буде роїтися багато бджіл. 21 жовтня -- Трифона 1 Пелагії. Казали: «Трифон кожуха латає, Пелагія рукавиці шиє».",,
02.02,,"8, 78. К.Сосснко, «Різдво-Коляда і 512 Щедрий Вечір», 149, 180, 190, 271. А.Афанасьсв, «Позтические воззрения славян...», т.2, с.355, 358; т.3, с.567; «Народньєе русскис сказки» 169, 213, 567. СТРІТЕННЯ, Стрічення, Стріщення, Громниці, Зимобор - - зустріч Зими з Літом. Головним дійством у цей день (2/15 лютого) було освячення вогню і води; стрітенські свічки вважалися чарівними й мали назву громничних. Їх за потреби запалювали під час грому, «тоб весняна повінь не зашкодила посівам і щоб мороз дерев не побив», та від усякого іншого лиха. Таку свічку ставили в руки померлому, щоб Її вогонь освітлював дорогу в потойбічний світ. Вода на Стрітення помічна від хвороб, особливо від пристріту. Цією водою кропили та поїли худобу. Кажуть: «Коли на Гоомницю півень не нап'ється водиці, то на Юрія віл не наїсться травиці»; «Як зі стріх висять великі сомплі (бурульки), то на великий урожай». На Стрітення Зима одягає на себе сім кожухів, а Літо - - у самій лиш сорочці, і тоді вони змагаються, хто ко...",,
03.02,,,,
04.02,ТИХОНІВ ДЕНЬ,"346, 476. Слово о полку Игореве, с.112. І.Нечуй-Левицький, «Світогляд українського народу», с.16. Г.Дьяченко, «Полньй церковно-славянский словарь», с.715. А.Афанасьев, «Позтическиє воззрения славян...», т.1, с.59, 63, 53. Л.Махновець, «Про автора «Слова о полку Ігоревім», с.166-171. ТИМОФІЇВ ДЕНЬ. 4 лютого: Тимофій Напівзимник. Півзими минуло, Тимофіївські морози. Початок сильних заметілей, Цієї пори морози бувають сильніші, ніж у січні. 6 березня -- Тимофій Весновій -провісник тепла: «теплом віє -- старих гріє». З печі злазили, з лавок піднімалися -- на призьби перебиралися. Вважалося, що 22 червня Тимофій по землі примари розпускає, і тоді можна дізнатися про те, що принесе тобі літо, Та коли свій заговір-замову забудеш, то примара нічого тобі не повідає, а то Й поміняється з тобою життям.",,
05.02,,"оров, «Исследованис...», с.243-258; «Каравай», с.622. А.Гура, «Каравай», с.461-466; «Символика животньтх...», с.26, 196, 184, 185, 216. В.Скуратівський, «Русалії», с.519-522. КОРОВ'ЯЧА СМЕРТЬ (Чорна Неміч) -- міфічна потвора у вигляді старезної кістлявої баби, в якої «руки з граблями». За повір'ям, 5 лютого (або ж на початку чи наприкінці осені) вона з'являється до худоби. Сама в село незаходить, азавжди мужики її з собою завозять. Коли вже забереться кудись ця гостя, то досхочу потішиться: переморить усе поголів'я до Кінця. Прогнати її можна тільки оборюванням села та Іншими обрядодійствами. Від цього вона ховається в ліс і болото доти, доки худоба не вийде на сонце грітися. Тоді вона, заморена, бігає по селах і врешті утікає в степ, якщо не зуміє пробратися.до хліву. Люди завбачливо тоді зачиняють свої хліви та вішають на них личаки, змочені в дьогті, як оберіг від цієї немочі. (Див. ВІДЬМА, ОБОРЮВАННЯ, ДЬОГОТЬ).",,
06.02,ОКСАНИН ДЕНЬ,"ические воззрения славян...», т.1, с.85, 89-90; т.2, с.253. Г.Попов, «Русская народно-бьтовая медицина», с.485. Н.Толстой, «Глаза», с.500-502, А.Гура, «Символика животньх..», с.33, 39, 49, 50, 65, 74, 87-90 та ін. М.Новикова, «Коментар», с.248. В.Скуратівський, «Русалії», с.201-203. ОКСАНИН ДЕНЬ -- 6 лютого. Оксана-веснопровісниця, напівзимниця, напівгодувальниця. Вважалося, що з цього дня до нового врожаю корму худобі потрібно менше з'їденого. Сіно давали вже тільки ягнятам, телятам, а коровам -- тільки перед доїнням. Прикмети: Якщо на Оксани гарна погода, то й весна буде на славу: яка Оксана, така й весна.",,
07.02,,,,
08.02,,"тополя забирають лиху енергію. Наведемо зелений гороскоп, у якому простежується зв'язок людських характерів з деревами і яким користувалися наші прародителі: Яблуня: 23 грудня -- | січня; 25 червня - 4 липня. Ялиця: 2 -- 11 січня; 5 - - 14 Липня. В'яз: 12 -- 24 січня; 15 - - 25 липня. Тополя: 4 --- 8 лютого; 5 -- 13 серпня. Кедр: 9 --- 18 лютого; 14 --- 23 серпня. Сосна: 19 --28 (29) лютого; 24 серпня - - 2 вересня. Іва: 1-- 10 березня; 3 - - 12 вересня. Липа: 11 -- 20 березня; 13 - - 22 вересня. Дуб: 21 березня (день весняного рівнодення). Ліщина: 22 -- 31 березня; 24 вересня - - 3 жовтня. Горобина: 1 -- 10 квітня; 4-- 13 жовтня. Клен: 11 -- 20 квітня; 14 - - 23 жовтня. Горіх: 21 -- 30 квітня; 24 жовтня -- 2 листопада. Жасмин: 1 - - 14 травня; 3 - - ІІ листопада. Каштан: 15 - - 24 травня; 12 -- 21 листопада. Ясен: 25 травня - - З червня; 22 листопада - - І грудня. Граб: 4 -- 13 червня; 2 -- 11 грудня. Береза: 21-22 червня (день літнього сонцестояння). Бук: 21 - - 22 грудня (день зимов...",,
09.02,,,,
10.02,ОХРІМІВ ДЕНЬ,я до куті душі померлих рідняків.,,
11.02,,"ог пов'язувався з водою, Під 971 р. автор, наводячи слова клятви Святослава, яка також вважається символом багатства. Велесу (у також називає Велеса «скотій бог», бо для народу худоба християнстві св.Власію) молилися про збереження була основним джерелом багатства. худоби, 1 в день його вшанування (11 лютого) вигонили Сучасні вчені, зокрема В.Їванов, В.Топоров, корів до храму, служили молебень, кропили їх святою розцінюють це як певне «протиставлення» богів одне водою. 50",,
12.02,,,,
13.02,,,,
14.02,ТРИ ЦАРСТВА,"стецтво псріоду нсоліту...», с.30-40. П.Толочко та їн. «Давня історія України», кн. 1, с.47-56. М.Чмихов, «Від Яйця-райця до ідеї Спаситсля», с.82, 116, 388. Р.Фурдуй, «Скільки тисячоліть тризубу», с.240-248. В.Паїк, «Корінь безсмертної України», с.20-25. ТРИФОНІВ ДЕНЬ (Перезимник, Зірчастий) - - 1/14 лютого. Вночі не слід дивитися на зорі -- можна присмалитися «мишачим вогнем», а тому тільки цього дня можна заклинати мишей -- губителів скирт і копичок. Зірки цієї ночі, як світлячки, - - ознобом б'ють. Тільки тим, хто народився на Трифона, дозволялося гадати про весну. У цей день не можна прясти. Прикмети: Місяць народжується перед полуднем -- на щедрий рік, а грім гримить - - на вітряний; якщо цього дня іде сніг, то цілий рік буде роїтися багато бджіл. 21 жовтня -- Трифона 1 Пелагії. Казали: «Трифон кожуха латає, Пелагія рукавиці шиє».",,
15.02,,"78. К.Сосснко, «Різдво-Коляда і 512 Щедрий Вечір», 149, 180, 190, 271. А.Афанасьсв, «Позтические воззрения славян...», т.2, с.355, 358; т.3, с.567; «Народньєе русскис сказки» 169, 213, 567. СТРІТЕННЯ, Стрічення, Стріщення, Громниці, Зимобор - - зустріч Зими з Літом. Головним дійством у цей день (2/15 лютого) було освячення вогню і води; стрітенські свічки вважалися чарівними й мали назву громничних. Їх за потреби запалювали під час грому, «тоб весняна повінь не зашкодила посівам і щоб мороз дерев не побив», та від усякого іншого лиха. Таку свічку ставили в руки померлому, щоб Її вогонь освітлював дорогу в потойбічний світ. Вода на Стрітення помічна від хвороб, особливо від пристріту. Цією водою кропили та поїли худобу. Кажуть: «Коли на Гоомницю півень не нап'ється водиці, то на Юрія віл не наїсться травиці»; «Як зі стріх висять великі сомплі (бурульки), то на великий урожай». На Стрітення Зима одягає на себе сім кожухів, а Літо - - у самій лиш сорочці, і тоді вони змагаються, хто кого ...",,
16.02,,,,
17.02,,,,
18.02,,"о зелений гороскоп, у якому простежується зв'язок людських характерів з деревами і яким користувалися наші прародителі: Яблуня: 23 грудня -- | січня; 25 червня - 4 липня. Ялиця: 2 -- 11 січня; 5 - - 14 Липня. В'яз: 12 -- 24 січня; 15 - - 25 липня. Тополя: 4 --- 8 лютого; 5 -- 13 серпня. Кедр: 9 --- 18 лютого; 14 --- 23 серпня. Сосна: 19 --28 (29) лютого; 24 серпня - - 2 вересня. Іва: 1-- 10 березня; 3 - - 12 вересня. Липа: 11 -- 20 березня; 13 - - 22 вересня. Дуб: 21 березня (день весняного рівнодення). Ліщина: 22 -- 31 березня; 24 вересня - - 3 жовтня. Горобина: 1 -- 10 квітня; 4-- 13 жовтня. Клен: 11 -- 20 квітня; 14 - - 23 жовтня. Горіх: 21 -- 30 квітня; 24 жовтня -- 2 листопада. Жасмин: 1 - - 14 травня; 3 - - ІІ листопада. Каштан: 15 - - 24 травня; 12 -- 21 листопада. Ясен: 25 травня - - З червня; 22 листопада - - І грудня. Граб: 4 -- 13 червня; 2 -- 11 грудня. Береза: 21-22 червня (день літнього сонцестояння). Бук: 21 - - 22 грудня (день зимового сонцестояння).",,
19.02,,,,
20.02,МАРА,"чарівну силу, а плодом цього зв'язку стають богатирі-чарівники або ж кикимори. В одній казці так і говориться: «Не даремно мені щаслива зірка дала силу богатирську». Де упаде вогненний змій, те місце вважається житлом нечистих духів. Дітям узагалі заборонялося дивитися на таке. Коли хтось захворіє 20 лютого, тобто в день перелесника, то Йому клали під пахву кусок хліба і дивилися: якщо на ранок хліб засохне, то хворий неодмінно помре. У деяких місцевостях падучі зірки називають ще маніяками. Ця назва стосується і перелесника, а шлях, що описує така зірка в небі, називався білим шляхом. (Див. ЛІТАВИЦЯ, ПЕРЕЛЕСНИК, МАРА -- Кикимора, ЗОРЕПАД).",,
21.02,,,,
22.02,,,,
23.02,,,,
24.02,ОБЖИНКИ,"животньх..», с.23, 32, 47, 48, 50 та їн. Г.Маслова, «Народная одосжда...», с.36-39. З.Болтарович, «З народної медицини українців», с.29. В.Мойсієнко, «Поліські вірування...», с.157. П.Доемидович, «Из области всрований и сказаний бслорусов», с.128. ОБЕРТІННЯ (Обернення, Оборотення, Обретіння) - день 24 лютого/9 березня. Від цього часу з вирію починають прилітати птахи. Першими повертаються в рідні краї жайворонки. Разом із журавлями, лелеками, граками вони несуть ключі, щоб відімкнути Небесні ворота для весни. Тоді кажуть: «На Обертіння птиця обертається до свого гнізда, діти - - до хліба, хлібороб -- до плуга, а чоловік - - до Жінки». (Див. НЕБЕСНІ ВОРОТА, ПТАХИ, ВЕСНА, ВИРІЙ, ВИГЛЯДАННЯ).",,
25.02,,,,
26.02,ВІВЧАРНИК,".», Т.ПІ, с.185; «Мудрість віків», кн.2, с.34. М.Максимович, «Дні та місяці українського сслянина», с.60. С.Максимов, «Нечистая, неведомая и крестная сила», с.335. Г.Маслова, «Народная одежда...», с.60, 116. М.Міщснко, «Народний календар», с.62. В.Скуратівський, «Дідух», с.136. ОНИСИМ-ВІВЧАРНИК --- 26 лютого. Тоді виносили під світлі зорі прядиво, «щоб гарно вівці окочувалисяягнилися».",,
27.02,,,,
28.02,,,,
29.02,,"в, «Язьчество древних славян», с.374-375; «Язьчество древней Руси», с.113-114. В.Миллер, «Взгляд на Слово о полку Игореве». В.Иванов, В.Топоров, «Карна и |Желя», с.624. Е.Щтасрман, «Карна», с.278. В.Скуратівський, «Русалії», с.93-94. КАСІЯНІВ ДЕНЬ (Касіян, Касян Немилостивий, Касян Злопам'ятний) -- 29 лютого/13 березня. Кажуть: «Касіян високосний, біду приносний»; «Касіян все косою косить»; «Касіян -- на народ, народу тяжко». А про тих, хто народився цього дня: «Хоч не родися, а родився -- не помилився». Кажуть люди: хоч і недобрий Касіян, та все ж святий. Існує легенда: святий Касіян три роки сидить із чортом і лупцює його по голові, щоб у нечистого не було часу на обдумування, як нашкодити людям. Цю роботу Касіян залишає тільки в день своїх іменин -- один раз на чотири роки - - і тоді йде молитися, щоб додав Бог сили боротися з чортом. У той час, коли святий молиться, чорт вилазить із безодні на поверхню землі, і все, на що він подивиться, гине. Гляне на людей -помирають люди, подиви...",,
